%MatrixMarket matrix coordinate pattern symmetric 
40164 40164 85123
407 4488 42 7 10
408 5914 42 24 4
409 21852 43 5 10
410 30524 43 12 1
411 20485 44 18 7
412 30440 44 12 10
413 2063 45 23 4
414 39966 45 7 10
415 34589 46 5 9
416 22524 47 20 3
417 24940 47 12 2
418 39260 47 6 3
419 7593 49 2 2
420 13740 49 9 7
421 23115 50 7 6
422 11735 51 1 5
423 19511 51 22 9
424 26573 51 7 10
425 15220 52 2 5
426 20688 52 4 10
427 23034 52 13 10
428 11111 53 8 1
429 30980 53 16 2
430 22869 54 25 3
431 1427 55 21 6
432 2229 55 15 10
433 2412 55 14 5
434 3001 55 23 8
435 3872 55 17 7
436 4311 55 24 1
437 6131 55 20 5
438 7685 55 6 8
439 8336 55 14 1
440 10108 55 20 4
441 10896 55 19 3
442 11357 55 19 3
443 11366 55 19 10
444 11435 55 15 9
445 13237 55 2 3
446 13813 55 14 4
447 13838 55 12 3
448 14804 55 9 4
449 15065 55 23 5
450 15502 55 5 2
451 15727 55 15 6
452 16183 55 20 4
453 17084 55 7 4
454 17172 55 17 9
455 18275 55 17 2
456 19027 55 3 1
457 20728 55 12 1
458 21483 55 3 8
459 21949 55 19 7
460 23284 55 13 6
461 24044 55 8 2
462 24354 55 3 1
463 25447 55 11 9
464 27023 55 18 9
465 28068 55 6 8
466 29357 55 18 7
467 29387 55 21 3
468 29960 55 23 3
469 30056 55 6 1
470 30736 55 2 3
471 31551 55 3 3
472 31787 55 20 9
473 31819 55 4 5
474 32405 55 22 7
475 32449 55 18 10
476 33015 55 13 5
477 34369 55 12 6
478 34806 55 11 1
479 34819 55 2 6
480 36039 55 24 2
481 37928 55 11 7
482 38381 55 7 7
483 39087 55 15 8
484 39806 55 2 7
485 2063 56 18 7
486 14830 56 3 5
487 14830 57 22 1
488 9761 58 8 8
489 27067 58 13 10
490 246 59 2 10
491 1246 59 23 3
492 2152 59 19 7
493 2584 59 23 4
494 3912 59 1 3
495 4120 59 23 3
496 5010 59 13 2
497 8440 59 17 6
498 8961 59 13 9
499 9661 59 23 1
500 10683 59 12 10
501 13733 59 1 8
502 17316 59 9 3
503 23561 59 19 3
504 24364 59 25 4
505 25075 59 1 4
506 26852 59 2 2
507 31189 59 10 8
508 33189 59 10 2
509 38016 59 5 4
510 38325 59 23 6
511 38522 59 8 3
512 21679 60 21 1
513 33717 60 9 9
514 8086 61 5 8
515 17413 62 3 2
516 28386 63 10 1
517 31732 64 13 3
518 33717 64 5 4
519 30980 65 16 6
520 33717 65 21 10
521 26408 66 20 3
522 26638 67 18 1
523 15470 68 13 2
524 32938 68 13 8
525 4430 69 3 6
526 28853 69 3 8
527 2063 70 1 7
528 18323 71 3 3
529 22224 71 16 9
530 30189 71 21 2
531 14111 72 17 6
532 20688 72 8 9
533 11870 73 14 3
534 22576 74 17 8
535 26869 74 4 5
536 39489 75 16 6
537 2946 76 11 1
538 8963 76 16 7
539 10159 76 20 2
540 10315 76 8 6
541 25247 76 4 3
542 26753 76 19 2
543 30424 76 20 3
544 531 77 16 3
545 534 77 15 9
546 769 77 7 1
547 1045 77 7 4
548 1130 77 24 3
549 1144 77 21 4
550 1424 77 20 5
551 1594 77 6 7
552 1631 77 3 7
553 1761 77 20 10
554 2257 77 7 4
555 2535 77 24 9
556 2832 77 18 10
557 3140 77 23 8
558 3382 77 18 7
559 3384 77 3 10
560 4514 77 11 5
561 4645 77 19 10
562 5332 77 23 3
563 5341 77 16 1
564 5888 77 1 9
565 5995 77 6 9
566 6062 77 18 8
567 6263 77 21 1
568 6751 77 25 5
569 6754 77 16 3
570 6789 77 15 6
571 6871 77 6 10
572 7039 77 3 6
573 7127 77 18 8
574 7246 77 10 5
575 7262 77 5 6
576 7295 77 18 4
577 7523 77 1 3
578 8010 77 20 5
579 8069 77 1 4
580 8526 77 17 1
581 11119 77 16 4
582 11369 77 6 7
583 11579 77 1 6
584 12045 77 19 5
585 12105 77 7 10
586 12209 77 5 8
587 12229 77 2 5
588 12376 77 21 4
589 12988 77 15 10
590 13772 77 22 3
591 14095 77 1 2
592 15189 77 4 9
593 15679 77 15 5
594 15844 77 14 9
595 16250 77 1 10
596 16740 77 11 10
597 16896 77 23 1
598 16922 77 1 8
599 17131 77 23 4
600 17817 77 8 3
601 18356 77 23 8
602 18556 77 14 5
603 19412 77 5 10
604 19511 77 4 1
605 19557 77 24 4
606 20084 77 14 8
607 20165 77 6 6
608 20688 77 9 1
609 21694 77 6 7
610 21852 77 14 5
611 22061 77 17 7
612 22259 77 9 8
613 22355 77 15 5
614 22748 77 14 1
615 23034 77 5 9
616 23095 77 4 3
617 23881 77 4 6
618 24169 77 8 9
619 24239 77 6 3
620 24709 77 11 9
621 25003 77 13 8
622 25751 77 8 7
623 25897 77 12 10
624 26114 77 21 7
625 26164 77 16 5
626 26399 77 17 2
627 26584 77 7 6
628 26870 77 20 9
629 27866 77 22 3
630 27869 77 21 7
631 28237 77 18 10
632 28518 77 20 2
633 28527 77 22 5
634 28852 77 15 7
635 29221 77 14 1
636 30150 77 4 3
637 30891 77 8 2
638 30973 77 11 1
639 30980 77 12 4
640 31873 77 6 3
641 31997 77 24 5
642 32656 77 4 2
643 32778 77 4 5
644 33263 77 8 2
645 33831 77 19 9
646 33921 77 4 1
647 34471 77 11 8
648 35361 77 8 9
649 35708 77 15 8
650 35972 77 5 6
651 36285 77 9 8
652 36467 77 3 10
653 36532 77 23 5
654 36652 77 2 1
655 36721 77 21 5
656 37252 77 22 9
657 38223 77 24 4
658 38460 77 7 2
659 38596 77 2 2
660 40074 77 14 10
661 30293 78 1 7
662 2160 79 14 9
663 6552 80 4 3
664 9127 80 2 1
665 30741 80 22 10
666 31878 80 4 6
667 31759 81 3 7
668 39376 81 20 3
669 6490 82 11 9
670 10430 82 22 4
671 32953 82 21 10
672 2063 83 21 4
673 8026 83 3 7
674 22639 83 6 8
675 30422 83 9 3
676 37503 83 22 7
677 25644 84 19 4
678 28077 85 8 6
679 33879 85 16 9
680 3383 86 9 3
681 13772 86 2 8
682 19766 86 13 2
683 36669 86 24 7
684 1852 87 14 1
685 20688 87 23 8
686 8439 88 4 5
687 21712 88 7 9
688 22709 88 10 7
689 2063 89 19 6
690 12229 89 16 4
691 23807 89 9 3
692 31462 89 1 4
693 21679 90 19 8
694 25644 90 19 8
695 30215 91 17 2
696 969 92 11 7
697 36134 93 10 4
698 16051 94 23 9
699 25904 94 23 4
700 1972 95 22 5
701 2063 95 15 3
702 5332 95 3 3
703 6754 95 15 6
704 11026 95 11 7
705 19412 95 5 4
706 25829 95 18 8
707 26114 95 22 8
708 33263 95 19 5
709 35972 95 21 3
710 1843 96 23 3
711 37421 96 22 1
712 38036 96 17 10
713 3596 97 25 10
714 2063 98 23 1
715 8047 99 15 8
716 32193 99 9 7
717 22639 100 1 5
718 27718 100 9 9
719 14830 101 9 7
720 22639 101 20 9
721 8439 102 6 6
722 14567 102 20 7
723 20688 102 15 8
724 25934 102 25 9
725 39366 102 4 10
726 12299 103 10 3
727 35540 103 21 5
728 2063 104 14 9
729 8439 104 11 3
730 12839 104 23 8
731 6899 105 6 8
732 20623 105 24 8
733 6618 106 13 8
734 12825 106 11 1
735 29071 106 10 8
736 20485 107 23 1
737 30838 107 20 3
738 37439 108 13 3
739 22284 109 15 1
740 10683 110 21 8
741 13299 110 19 3
742 33189 110 5 3
743 8357 111 10 7
744 19718 111 22 7
745 25930 111 1 6
746 26885 111 15 1
747 8651 112 17 4
748 34004 112 18 10
749 35131 112 12 4
750 11134 113 8 9
751 15697 113 20 8
752 12442 114 23 1
753 21679 115 21 2
754 31732 115 3 6
755 39463 115 18 8
756 2063 116 22 7
757 24271 116 2 3
758 26814 116 16 9
759 2063 117 2 5
760 8439 117 3 6
761 13604 118 13 2
762 13405 119 3 10
763 8439 120 7 1
764 15242 121 5 3
765 4922 122 12 9
766 11888 123 7 1
767 24250 123 8 4
768 534 124 11 1
769 2443 124 16 2
770 7215 124 12 8
771 11113 124 6 10
772 12229 124 21 4
773 16250 124 12 6
774 25927 124 22 4
775 29374 124 21 5
776 31134 124 9 9
777 39783 124 12 1
778 15151 125 3 9
779 2160 126 11 6
780 33004 127 11 9
781 22639 128 15 3
782 35636 128 24 1
783 5338 129 4 1
784 13086 129 18 7
785 20792 130 15 5
786 23454 130 12 5
787 4922 131 9 2
788 15470 131 16 8
789 19060 132 11 7
790 26088 132 23 6
791 5973 133 19 2
792 6754 133 10 4
793 18323 133 24 4
794 30121 133 6 2
795 39757 133 18 7
796 11877 134 15 5
797 17876 134 25 6
798 13835 135 3 7
799 31844 135 14 2
800 35972 135 16 4
801 37348 135 8 8
802 28313 136 22 9
803 11529 137 15 7
804 8504 138 11 10
805 39357 139 14 5
806 8439 140 13 6
807 11639 140 21 6
808 20688 140 8 2
809 21798 140 3 4
810 10328 141 5 9
811 25644 142 8 5
812 37728 142 13 7
813 17582 143 6 5
814 11147 144 18 7
815 13474 145 4 6
816 37856 145 13 2
817 3430 146 9 8
818 30226 146 8 2
819 741 147 23 3
820 6787 147 7 6
821 10683 147 14 10
822 18879 147 1 6
823 11877 148 5 9
824 4508 149 8 10
825 6696 150 1 4
826 18981 150 13 6
827 26647 150 8 4
828 31551 151 13 4
829 10854 152 10 8
830 23509 152 15 9
831 1799 153 2 1
832 7895 153 21 10
833 15270 153 1 3
834 17036 153 20 2
835 18396 153 2 10
836 19132 153 24 9
837 31376 153 18 5
838 4168 154 8 8
839 17927 154 13 2
840 1319 155 22 5
841 26408 155 22 3
842 22639 156 24 10
843 31732 156 17 5
844 22676 157 21 7
845 32854 158 3 7
846 1999 159 12 1
847 10854 159 16 3
848 24438 159 7 3
849 37358 160 22 2
850 1319 161 6 7
851 26408 161 25 3
852 1799 162 3 8
853 5914 162 7 9
854 3430 163 16 6
855 20688 163 8 7
856 3430 164 20 6
857 8439 164 11 7
858 23857 165 19 2
859 15239 166 16 5
860 31732 166 18 5
861 38592 166 21 6
862 30741 167 15 10
863 18151 168 10 4
864 2214 169 10 10
865 38800 169 11 5
866 13106 170 20 10
867 32117 171 17 10
868 36832 171 9 2
869 8439 172 25 6
870 12856 172 3 8
871 17105 172 3 6
872 31732 172 18 3
873 2613 173 9 7
874 18729 173 4 9
875 12229 174 24 7
876 20688 174 18 1
877 21679 174 17 4
878 26088 174 4 4
879 30980 175 1 2
880 37553 175 25 5
881 18340 176 17 6
882 30980 177 5 7
883 31732 177 9 1
884 14939 178 13 9
885 17132 178 15 10
886 20031 178 11 5
887 21679 178 20 5
888 21992 178 18 1
889 22609 178 10 6
890 39464 178 3 10
891 12744 179 5 6
892 13511 179 11 9
893 23607 179 9 9
894 39464 179 8 6
895 35102 180 3 3
896 31732 181 10 4
897 37204 181 9 2
898 10146 182 11 10
899 16656 182 9 1
900 21679 183 2 8
901 28168 184 21 4
902 24367 185 22 5
903 39605 185 5 5
904 4922 186 1 1
905 13624 187 2 4
906 34632 187 11 5
907 12009 188 13 6
908 37596 188 22 5
909 40000 188 17 8
910 23537 189 4 7
911 35149 189 2 3
912 12229 190 9 6
913 16264 190 2 6
914 13559 191 22 9
915 22639 191 15 9
916 2063 192 17 8
917 12229 192 22 4
918 20558 192 5 9
919 25644 192 19 3
920 7132 193 4 6
921 24523 193 9 6
922 2063 194 14 5
923 14830 194 17 9
924 8439 195 24 8
925 13956 195 5 4
926 30573 196 11 1
927 30215 197 11 7
928 30259 198 25 2
929 9408 199 5 2
930 38813 199 14 1
931 11747 200 22 9
932 36219 200 9 8
933 17131 201 9 1
934 32656 201 5 2
935 8357 202 4 7
936 13772 203 21 4
937 20688 203 14 3
938 21679 203 10 4
939 39463 203 5 3
940 6180 204 25 10
941 19794 205 10 9
942 10640 206 14 3
943 23607 207 21 5
944 38412 207 21 3
945 34682 208 11 6
946 15057 209 15 5
947 23193 209 7 9
948 11889 210 12 3
949 6754 211 24 8
950 19848 211 16 10
951 22576 212 5 10
952 22939 212 1 6
953 35972 212 18 9
954 25763 213 9 1
955 7132 214 10 5
956 9369 215 25 1
957 15713 215 15 10
958 20467 215 15 8
959 28298 215 16 2
960 30456 215 20 6
961 33804 215 11 5
962 34082 215 3 7
963 34537 215 8 7
964 9190 216 24 10
965 34468 217 7 2
966 7657 218 1 2
967 19766 218 15 6
968 22639 219 23 8
969 8439 220 23 4
970 39464 220 5 8
971 16478 221 18 2
972 22639 221 19 3
973 7204 222 20 3
974 22301 222 11 5
975 1481 223 6 6
976 12347 224 2 10
977 27899 224 16 8
978 30741 225 9 3
979 809 226 6 3
980 1963 226 18 4
981 2063 226 21 5
982 2446 226 4 10
983 4485 226 16 1
984 5321 226 11 6
985 8146 226 2 9
986 8175 226 2 6
987 8469 226 9 8
988 10191 226 5 5
989 11320 226 24 3
990 11753 226 12 4
991 12579 226 20 4
992 12767 226 23 9
993 13209 226 6 8
994 17328 226 22 5
995 18859 226 8 7
996 18872 226 4 2
997 18900 226 25 3
998 18968 226 2 2
999 20265 226 4 1
1000 20395 226 19 6
1001 20688 226 4 9
1002 22483 226 9 7
1003 23034 226 11 3
1004 23122 226 19 4
1005 24034 226 16 5
1006 24497 226 9 6
1007 27748 226 16 4
1008 27832 226 6 1
1009 30633 226 6 6
1010 30891 226 4 5
1011 31680 226 1 2
1012 33243 226 18 1
1013 33626 226 9 1
1014 33964 226 8 6
1015 34051 226 4 2
1016 34727 226 1 4
1017 34920 226 21 7
1018 35972 226 23 2
1019 36278 226 17 8
1020 36457 226 23 7
1021 36570 226 21 3
1022 36793 226 22 7
1023 37871 226 17 3
1024 38296 226 15 3
1025 38862 226 9 9
1026 4889 227 10 10
1027 8383 227 23 5
1028 15995 227 2 7
1029 21054 227 11 1
1030 24981 227 2 6
1031 30667 228 22 10
1032 2063 229 2 4
1033 3430 229 16 10
1034 8687 230 3 1
1035 9578 231 23 5
1036 13537 231 9 10
1037 23034 231 11 4
1038 32938 231 16 2
1039 37950 231 5 9
1040 10683 232 16 3
1041 23034 232 20 3
1042 24355 232 1 9
1043 39840 232 24 4
1044 365 233 10 2
1045 34424 233 19 2
1046 1161 234 8 9
1047 8296 234 19 10
1048 18895 234 17 7
1049 23034 234 14 9
1050 24380 234 10 4
1051 35796 234 10 8
1052 35972 234 12 8
1053 33257 235 7 4
1054 20485 236 13 7
1055 33004 236 21 8
1056 2063 237 22 2
1057 18765 237 1 5
1058 1294 238 14 6
1059 17778 238 11 9
1060 22639 239 22 5
1061 25120 239 3 8
1062 1151 240 1 9
1063 22676 240 1 5
1064 26882 240 2 10
1065 28065 241 16 10
1066 5332 242 2 2
1067 8439 242 18 9
1068 22061 242 16 5
1069 2063 243 4 5
1070 8439 243 2 7
1071 18373 243 4 8
1072 21969 243 4 4
1073 37334 243 4 8
1074 1852 244 12 8
1075 39260 244 13 6
1076 5645 245 8 8
1077 22101 245 12 7
1078 31605 246 25 7
1079 8075 247 11 5
1080 22639 248 14 6
1081 35636 248 16 10
1082 28673 249 15 3
1083 22639 250 13 8
1084 30116 250 6 2
1085 31557 250 11 2
1086 35972 250 22 10
1087 33523 251 20 3
1088 38412 251 21 3
1089 2063 252 16 9
1090 16171 252 6 2
1091 38036 252 19 3
1092 35471 253 4 5
1093 8439 254 19 8
1094 31648 254 6 5
1095 8439 255 24 2
1096 25450 255 23 7
1097 8007 256 24 10
1098 31732 256 12 3
1099 11877 257 21 2
1100 3430 258 15 7
1101 31451 258 9 6
1102 8007 259 18 10
1103 14830 259 19 6
1104 21679 259 4 9
1105 2063 260 25 4
1106 8439 260 20 10
1107 16990 260 21 2
1108 5436 261 5 7
1109 12017 261 12 9
1110 5862 262 12 8
1111 11456 262 3 4
1112 12230 262 25 6
1113 17887 262 14 10
1114 29773 262 24 4
1115 37941 262 18 9
1116 22639 263 7 3
1117 31732 264 1 1
1118 38024 264 3 8
1119 4889 265 1 5
1120 15995 265 9 10
1121 26442 266 2 1
1122 31606 267 22 3
1123 33921 267 19 5
1124 34437 267 19 3
1125 7022 268 23 9
1126 24250 268 24 7
1127 2341 269 19 8
1128 2919 269 19 6
1129 3010 269 7 10
1130 6345 269 7 2
1131 8296 269 13 1
1132 8439 269 23 3
1133 10196 269 11 5
1134 11302 269 14 6
1135 19570 269 22 6
1136 22271 269 25 2
1137 22458 269 8 10
1138 24596 269 8 5
1139 30738 269 1 7
1140 32963 269 17 1
1141 33091 269 3 9
1142 35762 269 1 3
1143 38246 269 10 7
1144 40077 269 2 8
1145 30447 270 20 3
1146 18418 271 19 5
1147 31451 272 12 2
1148 17372 273 5 5
1149 2214 274 25 2
1150 35796 274 9 4
1151 38412 274 13 7
1152 2063 275 16 9
1153 11877 276 5 5
1154 21852 276 2 10
1155 21679 277 23 9
1156 39463 277 10 6
1157 30443 278 25 7
1158 34171 278 20 10
1159 37439 278 3 3
1160 28723 279 23 9
1161 18432 280 2 6
1162 33873 281 5 1
1163 18323 282 8 3
1164 23499 282 9 9
1165 30189 282 16 5
1166 34762 283 12 7
1167 11877 284 14 3
1168 15002 284 24 5
1169 8758 285 15 3
1170 8439 286 16 7
1171 31534 287 6 9
1172 14598 288 10 9
1173 21425 288 20 9
1174 35636 289 24 10
1175 1610 290 11 3
1176 4786 290 15 7
1177 9590 290 2 9
1178 14195 290 10 4
1179 26163 290 21 4
1180 34494 290 15 7
1181 2063 291 19 5
1182 14830 291 12 7
1183 15995 291 25 1
1184 21145 291 9 9
1185 21679 291 5 1
1186 34872 291 12 2
1187 14598 292 25 7
1188 23969 292 5 2
1189 18447 293 11 5
1190 22301 293 20 5
1191 37856 294 10 4
1192 23034 295 7 9
1193 35465 295 6 9
1194 38831 296 8 6
1195 2063 297 5 4
1196 8439 297 23 7
1197 14830 297 1 10
1198 37509 297 7 4
1199 1799 298 19 1
1200 8439 299 7 10
1201 10348 299 20 9
1202 13482 299 6 9
1203 20688 299 20 1
1204 31697 299 18 7
1205 36457 299 13 2
1206 9466 300 19 6
1207 14296 300 14 3
1208 15416 301 16 4
1209 26757 301 22 8
1210 35636 302 10 6
1211 38249 302 1 8
1212 29289 303 25 9
1213 2063 304 7 1
1214 22061 304 19 1
1215 37856 304 4 3
1216 12577 305 20 4
1217 38842 305 25 7
1218 1319 306 7 4
1219 26408 306 11 5
1220 39776 307 5 9
1221 37204 308 24 1
1222 2928 309 7 10
1223 35840 309 17 4
1224 19794 310 25 6
1225 30980 311 13 6
1226 33717 311 16 6
1227 3984 312 6 8
1228 33386 312 1 10
1229 5055 313 10 3
1230 8439 313 6 1
1231 8812 313 10 10
1232 9140 313 23 7
1233 10807 313 11 4
1234 19965 313 2 1
1235 21591 313 17 4
1236 23034 313 3 9
1237 23430 313 15 2
1238 23716 313 3 9
1239 31474 313 21 6
1240 33265 313 9 2
1241 28065 314 12 7
1242 21279 315 7 2
1243 5296 316 16 6
1244 9589 316 13 7
1245 11877 316 9 9
